origin|split_on_leg|avoid|destination|mode|units|timezone|departure_time|split_point|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y|distance|end_y|end_x|duration_in_traffic-sec|duration-sec|start_x|start_y
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:30:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|82|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-06 05:40:00-05:00||9.9 mi|40.7715416|-73.8717269|1443|1464|-73.99977539999999|40.7271183
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|2896|-73.99433259999999|40.7285304
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00||11.7 mi|40.7718584|-73.87163199999999|n/a|2896|-73.99433259999999|40.7285304
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|Grand Central - 42 St Station|2.3 mi|40.7522756|-73.9774709|714|931|-73.9932975|40.7295629|10.6 mi|40.7718584|-73.87163199999999|n/a|3914|-73.97761360000001|40.7523191
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|23 St|1.1 mi|40.74003099999999|-73.98640879999999|421|529|-73.9932975|40.7295629|11.8 mi|40.7718584|-73.87163199999999|n/a|3397|-73.9863381|40.7400007
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|Astor Place Station|0.4 mi|40.7301688|-73.99099249999999|138|169|-73.9932975|40.7295629|12.6 mi|40.7718584|-73.87163199999999|n/a|3577|-73.99107|40.730054
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|28 St|1.4 mi|40.7432513|-73.98390549999999|577|675|-73.9932975|40.7295629|11.5 mi|40.7718584|-73.87163199999999|n/a|3337|-73.98386289999999|40.7433087
New York University|begin||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|33 St|2.1 mi|40.7466223|-73.9818023|686|899|-73.9932975|40.7295629|11.3 mi|40.7718584|-73.87163199999999|n/a|3217|-73.9818873|40.7466576
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|Grand Central Terminal|2.1 mi|40.7505727|-73.97600709999999|n/a|875|-73.99437209999999|40.7284833|8.3 mi|40.7715416|-73.8717269|1121|885|-73.9760036|40.7505712
New York University|end||LaGuardia Airport|transit|imperial|eastern|2017-04-06 05:40:00-05:00|LaGuardia Airport|11.3 mi|40.774059|-73.87185699999999|n/a|2559|-73.99433259999999|40.7285304|0.2 mi|40.7734912|-73.87585849999999|88|96|-73.8720814|40.7740263
New York University||tolls|LaGuardia Airport|driving|imperial|eastern|2017-04-06 05:50:00-05:00||9.9 mi|40.7715416|-73.8717269|1493|1464|-73.99977539999999|40.7271183
